# ECP5U & ECP5UM caBGA554 Pin Migration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Revision 1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# Revised Mar 19, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Please read note at the bottom on ECP5U & ECP5UM migration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LFE5U-45,,,,,,,,LFE5UM-45,,,,,,,,LFE5U-85,,,,,,,,LFE5UM-85,,,,,,
Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,DQS,,Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,DQS,,Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,DQS,,Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,DQS
U24,PR59B,3,-,Comp_OF_PR59A,TRUE,RDQ65,,U24,PR59B,3,-,Comp_OF_PR59A,TRUE,RDQ65,,U24,PR83B,3,-,Comp_OF_PR83A,TRUE,RDQ89,,U24,PR83B,3,-,Comp_OF_PR83A,TRUE,RDQ89
U25,PR65B,3,-,Comp_OF_PR65A,TRUE,RDQSN65,,U25,PR65B,3,-,Comp_OF_PR65A,TRUE,RDQSN65,,U25,PR89B,3,-,Comp_OF_PR89A,TRUE,RDQSN89,,U25,PR89B,3,-,Comp_OF_PR89A,TRUE,RDQSN89
U26,PR65C,3,-,True_OF_PR65D,-,RDQ65,,U26,PR65C,3,-,True_OF_PR65D,-,RDQ65,,U26,PR89C,3,-,True_OF_PR89D,-,RDQ89,,U26,PR89C,3,-,True_OF_PR89D,-,RDQ89
V1,PL65A,6,-,True_OF_PL65B,TRUE,LDQS65,,V1,PL65A,6,-,True_OF_PL65B,TRUE,LDQS65,,V1,PL89A,6,-,True_OF_PL89B,TRUE,LDQS89,,V1,PL89A,6,-,True_OF_PL89B,TRUE,LDQS89
V2,GND,-,-,-,-,-,,V2,GND,-,-,-,-,-,,V2,GND,-,-,-,-,-,,V2,GND,-,-,-,-,-
V3,PL68A,6,-,True_OF_PL68B,TRUE,LDQ65,,V3,PL68A,6,-,True_OF_PL68B,TRUE,LDQ65,,V3,PL92A,6,-,True_OF_PL92B,TRUE,LDQ89,,V3,PL92A,6,-,True_OF_PL92B,TRUE,LDQ89
V4,PL53A,6,-,True_OF_PL53B,TRUE,LDQS53,,V4,PL53A,6,-,True_OF_PL53B,TRUE,LDQS53,,V4,PL77A,6,-,True_OF_PL77B,TRUE,LDQS77,,V4,PL77A,6,-,True_OF_PL77B,TRUE,LDQS77
V5,GND,-,-,-,-,-,,V5,GND,-,-,-,-,-,,V5,GND,-,-,-,-,-,,V5,GND,-,-,-,-,-
V6,PL56B,6,-,Comp_OF_PL56A,TRUE,LDQ53,,V6,PL56B,6,-,Comp_OF_PL56A,TRUE,LDQ53,,V6,PL80B,6,-,Comp_OF_PL80A,TRUE,LDQ77,,V6,PL80B,6,-,Comp_OF_PL80A,TRUE,LDQ77
V8,VCCIO6,6,-,-,-,-,,V8,VCCIO6,6,-,-,-,-,,V8,VCCIO6,6,-,-,-,-,,V8,VCCIO6,6,-,-,-,-
V9,GND,-,-,-,-,-,,V9,GND,-,-,-,-,-,,V9,GND,-,-,-,-,-,,V9,GND,-,-,-,-,-
V10,VCCIO8,8,-,-,-,-,,V10,VCCIO8,8,-,-,-,-,,V10,VCCIO8,8,-,-,-,-,,V10,VCCIO8,8,-,-,-,-
V11,VCCIO8,8,-,-,-,-,,V11,VCCIO8,8,-,-,-,-,,V11,VCCIO8,8,-,-,-,-,,V11,VCCIO8,8,-,-,-,-
V12,GND,-,-,-,-,-,,V12,GND,-,-,-,-,-,,V12,GND,-,-,-,-,-,,V12,GND,-,-,-,-,-
V13,GND,-,-,-,-,-,,V13,GND,-,-,-,-,-,,V13,GND,-,-,-,-,-,,V13,GND,-,-,-,-,-
V14,GND,-,-,-,-,-,,V14,GND,-,-,-,-,-,,V14,GND,-,-,-,-,-,,V14,GND,-,-,-,-,-
V15,GND,-,-,-,-,-,,V15,GND,-,-,-,-,-,,V15,GND,-,-,-,-,-,,V15,GND,-,-,-,-,-
V16,GND,-,-,-,-,-,,V16,GND,-,-,-,-,-,,V16,GND,-,-,-,-,-,,V16,GND,-,-,-,-,-
V17,GND,-,-,-,-,-,,V17,GND,-,-,-,-,-,,V17,GND,-,-,-,-,-,,V17,GND,-,-,-,-,-
V18,NC,-,-,-,-,-,,V18,NC,-,-,-,-,-,,V18,VCCIO4,4,-,-,-,-,,V18,VCCIO4,4,-,-,-,-
V19,NC,-,-,-,-,-,,V19,NC,-,-,-,-,-,,V19,VCCIO4,4,-,-,-,-,,V19,VCCIO4,4,-,-,-,-
V21,PR56B,3,-,Comp_OF_PR56A,TRUE,RDQ53,,V21,PR56B,3,-,Comp_OF_PR56A,TRUE,RDQ53,,V21,PR80B,3,-,Comp_OF_PR80A,TRUE,RDQ77,,V21,PR80B,3,-,Comp_OF_PR80A,TRUE,RDQ77
V22,GND,-,-,-,-,-,,V22,GND,-,-,-,-,-,,V22,GND,-,-,-,-,-,,V22,GND,-,-,-,-,-
V23,PR53A,3,-,True_OF_PR53B,TRUE,RDQS53,,V23,PR53A,3,-,True_OF_PR53B,TRUE,RDQS53,,V23,PR77A,3,-,True_OF_PR77B,TRUE,RDQS77,,V23,PR77A,3,-,True_OF_PR77B,TRUE,RDQS77
V24,PR68A,3,-,True_OF_PR68B,TRUE,RDQ65,,V24,PR68A,3,-,True_OF_PR68B,TRUE,RDQ65,,V24,PR92A,3,-,True_OF_PR92B,TRUE,RDQ89,,V24,PR92A,3,-,True_OF_PR92B,TRUE,RDQ89
V25,GND,-,-,-,-,-,,V25,GND,-,-,-,-,-,,V25,GND,-,-,-,-,-,,V25,GND,-,-,-,-,-
V26,PR65A,3,-,True_OF_PR65B,TRUE,RDQS65,,V26,PR65A,3,-,True_OF_PR65B,TRUE,RDQS65,,V26,PR89A,3,-,True_OF_PR89B,TRUE,RDQS89,,V26,PR89A,3,-,True_OF_PR89B,TRUE,RDQS89
W1,PL68B,6,-,Comp_OF_PL68A,TRUE,LDQ65,,W1,PL68B,6,-,Comp_OF_PL68A,TRUE,LDQ65,,W1,PL92B,6,-,Comp_OF_PL92A,TRUE,LDQ89,,W1,PL92B,6,-,Comp_OF_PL92A,TRUE,LDQ89
W2,PL68C,6,LLC_GPLL0T_IN,True_OF_PL68D,-,LDQ65,,W2,PL68C,6,LLC_GPLL0T_IN,True_OF_PL68D,-,LDQ65,,W2,PL92C,6,LLC_GPLL0T_IN,True_OF_PL92D,-,LDQ89,,W2,PL92C,6,LLC_GPLL0T_IN,True_OF_PL92D,-,LDQ89
W3,PL68D,6,LLC_GPLL0C_IN,Comp_OF_PL68C,-,LDQ65,,W3,PL68D,6,LLC_GPLL0C_IN,Comp_OF_PL68C,-,LDQ65,,W3,PL92D,6,LLC_GPLL0C_IN,Comp_OF_PL92C,-,LDQ89,,W3,PL92D,6,LLC_GPLL0C_IN,Comp_OF_PL92C,-,LDQ89
W4,PL56A,6,-,True_OF_PL56B,TRUE,LDQ53,,W4,PL56A,6,-,True_OF_PL56B,TRUE,LDQ53,,W4,PL80A,6,-,True_OF_PL80B,TRUE,LDQ77,,W4,PL80A,6,-,True_OF_PL80B,TRUE,LDQ77
W5,PL56C,6,-,True_OF_PL56D,-,LDQ53,,W5,PL56C,6,-,True_OF_PL56D,-,LDQ53,,W5,PL80C,6,-,True_OF_PL80D,-,LDQ77,,W5,PL80C,6,-,True_OF_PL80D,-,LDQ77
W6,PL56D,6,-,Comp_OF_PL56C,-,LDQ53,,W6,PL56D,6,-,Comp_OF_PL56C,-,LDQ53,,W6,PL80D,6,-,Comp_OF_PL80C,-,LDQ77,,W6,PL80D,6,-,Comp_OF_PL80C,-,LDQ77
W8,VCCAUX,-,-,-,-,-,,W8,VCCAUX,-,-,-,-,-,,W8,VCCAUX,-,-,-,-,-,,W8,VCCAUX,-,-,-,-,-
W9,GND,-,-,-,-,-,,W9,GND,-,-,-,-,-,,W9,GND,-,-,-,-,-,,W9,GND,-,-,-,-,-
W10,GND,-,-,-,-,-,,W10,VCCHTX0_D0CH0,-,-,-,-,-,,W10,GND,-,-,-,-,-,,W10,VCCHTX0_D0CH0,-,-,-,-,-
W11,GND,-,-,-,-,-,,W11,VCCHRX0_D0CH0,-,-,-,-,-,,W11,GND,-,-,-,-,-,,W11,VCCHRX0_D0CH0,-,-,-,-,-
W12,GND,-,-,-,-,-,,W12,VCCHRX1_D0CH1,-,-,-,-,-,,W12,GND,-,-,-,-,-,,W12,VCCHRX1_D0CH1,-,-,-,-,-
W13,GND,-,-,-,-,-,,W13,VCCHTX1_D0CH1,-,-,-,-,-,,W13,GND,-,-,-,-,-,,W13,VCCHTX1_D0CH1,-,-,-,-,-
W14,GND,-,-,-,-,-,,W14,VCCHTX0_D1CH0,-,-,-,-,-,,W14,GND,-,-,-,-,-,,W14,VCCHTX0_D1CH0,-,-,-,-,-
W15,GND,-,-,-,-,-,,W15,VCCHRX0_D1CH0,-,-,-,-,-,,W15,GND,-,-,-,-,-,,W15,VCCHRX0_D1CH0,-,-,-,-,-
W16,GND,-,-,-,-,-,,W16,VCCHRX1_D1CH1,-,-,-,-,-,,W16,GND,-,-,-,-,-,,W16,VCCHRX1_D1CH1,-,-,-,-,-
W17,GND,-,-,-,-,-,,W17,VCCHTX1_D1CH1,-,-,-,-,-,,W17,GND,-,-,-,-,-,,W17,VCCHTX1_D1CH1,-,-,-,-,-
W18,GND,-,-,-,-,-,,W18,GND,-,-,-,-,-,,W18,GND,-,-,-,-,-,,W18,GND,-,-,-,-,-
W19,VCCAUX,-,-,-,-,-,,W19,VCCAUX,-,-,-,-,-,,W19,VCCAUX,-,-,-,-,-,,W19,VCCAUX,-,-,-,-,-
W21,PR56D,3,-,Comp_OF_PR56C,-,RDQ53,,W21,PR56D,3,-,Comp_OF_PR56C,-,RDQ53,,W21,PR80D,3,-,Comp_OF_PR80C,-,RDQ77,,W21,PR80D,3,-,Comp_OF_PR80C,-,RDQ77
W22,PR56C,3,-,True_OF_PR56D,-,RDQ53,,W22,PR56C,3,-,True_OF_PR56D,-,RDQ53,,W22,PR80C,3,-,True_OF_PR80D,-,RDQ77,,W22,PR80C,3,-,True_OF_PR80D,-,RDQ77
W23,PR56A,3,-,True_OF_PR56B,TRUE,RDQ53,,W23,PR56A,3,-,True_OF_PR56B,TRUE,RDQ53,,W23,PR80A,3,-,True_OF_PR80B,TRUE,RDQ77,,W23,PR80A,3,-,True_OF_PR80B,TRUE,RDQ77
W24,PR68D,3,LRC_GPLL0C_IN,Comp_OF_PR68C,-,RDQ65,,W24,PR68D,3,LRC_GPLL0C_IN,Comp_OF_PR68C,-,RDQ65,,W24,PR92D,3,LRC_GPLL0C_IN,Comp_OF_PR92C,-,RDQ89,,W24,PR92D,3,LRC_GPLL0C_IN,Comp_OF_PR92C,-,RDQ89
W25,PR68C,3,LRC_GPLL0T_IN,True_OF_PR68D,-,RDQ65,,W25,PR68C,3,LRC_GPLL0T_IN,True_OF_PR68D,-,RDQ65,,W25,PR92C,3,LRC_GPLL0T_IN,True_OF_PR92D,-,RDQ89,,W25,PR92C,3,LRC_GPLL0T_IN,True_OF_PR92D,-,RDQ89
W26,PR68B,3,-,Comp_OF_PR68A,TRUE,RDQ65,,W26,PR68B,3,-,Comp_OF_PR68A,TRUE,RDQ65,,W26,PR92B,3,-,Comp_OF_PR92A,TRUE,RDQ89,,W26,PR92B,3,-,Comp_OF_PR92A,TRUE,RDQ89
AA1,PB4A,8,D7/IO7,True_OF_PB4B,-,-,,AA1,PB4A,8,D7/IO7,True_OF_PB4B,-,-,,AA1,PB4A,8,D7/IO7,True_OF_PB4B,-,-,,AA1,PB4A,8,D7/IO7,True_OF_PB4B,-,-
AA2,PB15A,8,HOLDN/DI/BUSY/CSSPIN/CEN,True_OF_PB15B,-,-,,AA2,PB15A,8,HOLDN/DI/BUSY/CSSPIN/CEN,True_OF_PB15B,-,-,,AA2,PB15A,8,HOLDN/DI/BUSY/CSSPIN/CEN,True_OF_PB15B,-,-,,AA2,PB15A,8,HOLDN/DI/BUSY/CSSPIN/CEN,True_OF_PB15B,-,-
AA3,NC,-,-,-,-,-,,AA3,NC,-,-,-,-,-,,AA3,NC,-,-,-,-,-,,AA3,NC,-,-,-,-,-
AA4,NC,-,-,-,-,-,,AA4,NC,-,-,-,-,-,,AA4,NC,-,-,-,-,-,,AA4,NC,-,-,-,-,-
AA5,NC,-,-,-,-,-,,AA5,NC,-,-,-,-,-,,AA5,NC,-,-,-,-,-,,AA5,NC,-,-,-,-,-
AA7,GND,-,GND,-,-,-,,AA7,GND,-,GND,-,-,-,,AA7,GND,-,GND,-,-,-,,AA7,GND,-,GND,-,-,-
AA9,GND,-,GND,-,-,-,,AA9,GND,-,GND,-,-,-,,AA9,GND,-,GND,-,-,-,,AA9,GND,-,GND,-,-,-
AA10,GND,-,GND,-,-,-,,AA10,GND,-,GND,-,-,-,,AA10,GND,-,GND,-,-,-,,AA10,GND,-,GND,-,-,-
AA12,GND,-,GND,-,-,-,,AA12,GND,-,GND,-,-,-,,AA12,GND,-,GND,-,-,-,,AA12,GND,-,GND,-,-,-
AA13,GND,-,GND,-,-,-,,AA13,GND,-,GND,-,-,-,,AA13,GND,-,GND,-,-,-,,AA13,GND,-,GND,-,-,-
AA14,GND,-,GND,-,-,-,,AA14,GND,-,GND,-,-,-,,AA14,GND,-,GND,-,-,-,,AA14,GND,-,GND,-,-,-
AA15,GND,-,GND,-,-,-,,AA15,GND,-,GND,-,-,-,,AA15,GND,-,GND,-,-,-,,AA15,GND,-,GND,-,-,-
AA17,GND,-,GND,-,-,-,,AA17,GND,-,GND,-,-,-,,AA17,GND,-,GND,-,-,-,,AA17,GND,-,GND,-,-,-
AA18,GND,-,GND,-,-,-,,AA18,GND,-,GND,-,-,-,,AA18,GND,-,GND,-,-,-,,AA18,GND,-,GND,-,-,-
AA20,GND,-,GND,-,-,-,,AA20,GND,-,GND,-,-,-,,AA20,GND,-,GND,-,-,-,,AA20,GND,-,GND,-,-,-
AA22,NC,-,-,-,-,-,,AA22,NC,-,-,-,-,-,,AA22,PB107A,4,-,True_OF_PB107B,-,-,,AA22,PB107A,4,-,True_OF_PB107B,-,-
AA23,NC,-,-,-,-,-,,AA23,NC,-,-,-,-,-,,AA23,PB107B,4,-,Comp_OF_PB107A,-,-,,AA23,PB107B,4,-,Comp_OF_PB107A,-,-
AA24,NC,-,-,-,-,-,,AA24,NC,-,-,-,-,-,,AA24,PB110B,4,-,Comp_OF_PB110A,-,-,,AA24,PB110B,4,-,Comp_OF_PB110A,-,-
AA25,NC,-,-,-,-,-,,AA25,NC,-,-,-,-,-,,AA25,PB112B,4,-,Comp_OF_PB112A,-,-,,AA25,PB112B,4,-,Comp_OF_PB112A,-,-
AA26,NC,-,-,-,-,-,,AA26,NC,-,-,-,-,-,,AA26,PB121B,4,-,Comp_OF_PB121A,-,-,,AA26,PB121B,4,-,Comp_OF_PB121A,-,-
AB1,PB4B,8,D6/IO6,Comp_OF_PB4A,-,-,,AB1,PB4B,8,D6/IO6,Comp_OF_PB4A,-,-,,AB1,PB4B,8,D6/IO6,Comp_OF_PB4A,-,-,,AB1,PB4B,8,D6/IO6,Comp_OF_PB4A,-,-
AB2,PB13A,8,SN/CSN,True_OF_PB13B,-,-,,AB2,PB13A,8,SN/CSN,True_OF_PB13B,-,-,,AB2,PB13A,8,SN/CSN,True_OF_PB13B,-,-,,AB2,PB13A,8,SN/CSN,True_OF_PB13B,-,-
AB3,PB15B,8,DOUT/CSON,Comp_OF_PB15A,-,-,,AB3,PB15B,8,DOUT/CSON,Comp_OF_PB15A,-,-,,AB3,PB15B,8,DOUT/CSON,Comp_OF_PB15A,-,-,,AB3,PB15B,8,DOUT/CSON,Comp_OF_PB15A,-,-
AB4,PROGRAMN,8,-,-,-,-,,AB4,PROGRAMN,8,-,-,-,-,,AB4,PROGRAMN,8,-,-,-,-,,AB4,PROGRAMN,8,-,-,-,-
AB5,TDO,40,-,-,-,-,,AB5,TDO,40,-,-,-,-,,AB5,TDO,40,-,-,-,-,,AB5,TDO,40,-,-,-,-
AB6,GND,-,GND,-,-,-,,AB6,GND,-,GND,-,-,-,,AB6,GND,-,GND,-,-,-,,AB6,GND,-,GND,-,-,-
AB7,VCCA0,-,-,-,-,-,,AB7,VCCA0,-,-,-,-,-,,AB7,VCCA0,-,-,-,-,-,,AB7,VCCA0,-,-,-,-,-
AB9,GND,-,GND,-,-,-,,AB9,GND,-,GND,-,-,-,,AB9,GND,-,GND,-,-,-,,AB9,GND,-,GND,-,-,-
AB10,VCCA0,-,-,-,-,-,,AB10,VCCA0,-,-,-,-,-,,AB10,VCCA0,-,-,-,-,-,,AB10,VCCA0,-,-,-,-,-
AB12,GND,-,GND,-,-,-,,AB12,GND,-,GND,-,-,-,,AB12,GND,-,GND,-,-,-,,AB12,GND,-,GND,-,-,-
AB13,GND,-,GND,-,-,-,,AB13,GND,-,GND,-,-,-,,AB13,GND,-,GND,-,-,-,,AB13,GND,-,GND,-,-,-
AB14,GND,-,GND,-,-,-,,AB14,GND,-,GND,-,-,-,,AB14,GND,-,GND,-,-,-,,AB14,GND,-,GND,-,-,-
AB15,GND,-,GND,-,-,-,,AB15,GND,-,GND,-,-,-,,AB15,GND,-,GND,-,-,-,,AB15,GND,-,GND,-,-,-
AB17,VCCA1,-,-,-,-,-,,AB17,VCCA1,-,-,-,-,-,,AB17,VCCA1,-,-,-,-,-,,AB17,VCCA1,-,-,-,-,-
AB18,GND,-,GND,-,-,-,,AB18,GND,-,GND,-,-,-,,AB18,GND,-,GND,-,-,-,,AB18,GND,-,GND,-,-,-
AB20,VCCA1,-,-,-,-,-,,AB20,VCCA1,-,-,-,-,-,,AB20,VCCA1,-,-,-,-,-,,AB20,VCCA1,-,-,-,-,-
AB21,GND,-,GND,-,-,-,,AB21,GND,-,GND,-,-,-,,AB21,GND,-,GND,-,-,-,,AB21,GND,-,GND,-,-,-
AB22,GND,-,GND,-,-,-,,AB22,GND,-,GND,-,-,-,,AB22,GND,-,GND,-,-,-,,AB22,GND,-,GND,-,-,-
AB23,GND,-,GND,-,-,-,,AB23,GND,-,GND,-,-,-,,AB23,GND,-,GND,-,-,-,,AB23,GND,-,GND,-,-,-
AB24,NC,-,-,-,-,-,,AB24,NC,-,-,-,-,-,,AB24,PB110A,4,-,True_OF_PB110B,-,-,,AB24,PB110A,4,-,True_OF_PB110B,-,-
AB25,NC,-,-,-,-,-,,AB25,NC,-,-,-,-,-,,AB25,PB112A,4,-,True_OF_PB112B,-,-,,AB25,PB112A,4,-,True_OF_PB112B,-,-
AB26,NC,-,-,-,-,-,,AB26,NC,-,-,-,-,-,,AB26,PB121A,4,-,True_OF_PB121B,-,-,,AB26,PB121A,4,-,True_OF_PB121B,-,-
AC1,PB6A,8,D5/MISO2/IO5,True_OF_PB6B,-,-,,AC1,PB6A,8,D5/MISO2/IO5,True_OF_PB6B,-,-,,AC1,PB6A,8,D5/MISO2/IO5,True_OF_PB6B,-,-,,AC1,PB6A,8,D5/MISO2/IO5,True_OF_PB6B,-,-
AC2,PB13B,8,CS1N,Comp_OF_PB13A,-,-,,AC2,PB13B,8,CS1N,Comp_OF_PB13A,-,-,,AC2,PB13B,8,CS1N,Comp_OF_PB13A,-,-,,AC2,PB13B,8,CS1N,Comp_OF_PB13A,-,-
AC3,GND,-,-,-,-,-,,AC3,GND,-,-,-,-,-,,AC3,GND,-,-,-,-,-,,AC3,GND,-,-,-,-,-
AC4,DONE,8,-,-,-,-,,AC4,DONE,8,-,-,-,-,,AC4,DONE,8,-,-,-,-,,AC4,DONE,8,-,-,-,-
AC5,TDI,40,-,-,-,-,,AC5,TDI,40,-,-,-,-,,AC5,TDI,40,-,-,-,-,,AC5,TDI,40,-,-,-,-
AC6,GND,-,GND,-,-,-,,AC6,GND,-,GND,-,-,-,,AC6,GND,-,GND,-,-,-,,AC6,GND,-,GND,-,-,-
AC7,VCCA0,-,-,-,-,-,,AC7,VCCA0,-,-,-,-,-,,AC7,VCCA0,-,-,-,-,-,,AC7,VCCA0,-,-,-,-,-
AC8,VCCA0,-,-,-,-,-,,AC8,VCCA0,-,-,-,-,-,,AC8,VCCA0,-,-,-,-,-,,AC8,VCCA0,-,-,-,-,-
AC9,GND,-,GND,-,-,-,,AC9,GND,-,GND,-,-,-,,AC9,GND,-,GND,-,-,-,,AC9,GND,-,GND,-,-,-
AC10,VCCA0,-,-,-,-,-,,AC10,VCCA0,-,-,-,-,-,,AC10,VCCA0,-,-,-,-,-,,AC10,VCCA0,-,-,-,-,-
AC11,VCCA0,-,-,-,-,-,,AC11,VCCA0,-,-,-,-,-,,AC11,VCCA0,-,-,-,-,-,,AC11,VCCA0,-,-,-,-,-
AC12,GND,-,GND,-,-,-,,AC12,GND,-,GND,-,-,-,,AC12,GND,-,GND,-,-,-,,AC12,GND,-,GND,-,-,-
AC13,VCCAUXA0,-,-,-,-,-,,AC13,VCCAUXA0,-,-,-,-,-,,AC13,VCCAUXA0,-,-,-,-,-,,AC13,VCCAUXA0,-,-,-,-,-
AC14,VCCAUXA0,-,-,-,-,-,,AC14,VCCAUXA0,-,-,-,-,-,,AC14,VCCAUXA0,-,-,-,-,-,,AC14,VCCAUXA0,-,-,-,-,-
AC15,GND,-,GND,-,-,-,,AC15,GND,-,GND,-,-,-,,AC15,GND,-,GND,-,-,-,,AC15,GND,-,GND,-,-,-
AC16,VCCA1,-,-,-,-,-,,AC16,VCCA1,-,-,-,-,-,,AC16,VCCA1,-,-,-,-,-,,AC16,VCCA1,-,-,-,-,-
AC17,VCCA1,-,-,-,-,-,,AC17,VCCA1,-,-,-,-,-,,AC17,VCCA1,-,-,-,-,-,,AC17,VCCA1,-,-,-,-,-
AC18,GND,-,GND,-,-,-,,AC18,GND,-,GND,-,-,-,,AC18,GND,-,GND,-,-,-,,AC18,GND,-,GND,-,-,-
AC19,VCCA1,-,-,-,-,-,,AC19,VCCA1,-,-,-,-,-,,AC19,VCCA1,-,-,-,-,-,,AC19,VCCA1,-,-,-,-,-
AC20,VCCA1,-,-,-,-,-,,AC20,VCCA1,-,-,-,-,-,,AC20,VCCA1,-,-,-,-,-,,AC20,VCCA1,-,-,-,-,-
AC21,GND,-,GND,-,-,-,,AC21,GND,-,GND,-,-,-,,AC21,GND,-,GND,-,-,-,,AC21,GND,-,GND,-,-,-
AC22,VCCAUXA1,-,-,-,-,-,,AC22,VCCAUXA1,-,-,-,-,-,,AC22,VCCAUXA1,-,-,-,-,-,,AC22,VCCAUXA1,-,-,-,-,-
AC23,VCCAUXA1,-,-,-,-,-,,AC23,VCCAUXA1,-,-,-,-,-,,AC23,VCCAUXA1,-,-,-,-,-,,AC23,VCCAUXA1,-,-,-,-,-
AC24,GND,-,GND,-,-,-,,AC24,GND,-,GND,-,-,-,,AC24,GND,-,GND,-,-,-,,AC24,GND,-,GND,-,-,-
AC25,GND,-,-,-,-,-,,AC25,GND,-,-,-,-,-,,AC25,GND,-,-,-,-,-,,AC25,GND,-,-,-,-,-
AC26,NC,-,-,-,-,-,,AC26,NC,-,-,-,-,-,,AC26,PB119B,4,-,Comp_OF_PB119A,-,-,,AC26,PB119B,4,-,Comp_OF_PB119A,-,-
AD1,PB6B,8,D4/MOSI2/IO4,Comp_OF_PB6A,-,-,,AD1,PB6B,8,D4/MOSI2/IO4,Comp_OF_PB6A,-,-,,AD1,PB6B,8,D4/MOSI2/IO4,Comp_OF_PB6A,-,-,,AD1,PB6B,8,D4/MOSI2/IO4,Comp_OF_PB6A,-,-
AD2,PB11A,8,D1/MISO/IO1,True_OF_PB11B,-,-,,AD2,PB11A,8,D1/MISO/IO1,True_OF_PB11B,-,-,,AD2,PB11A,8,D1/MISO/IO1,True_OF_PB11B,-,-,,AD2,PB11A,8,D1/MISO/IO1,True_OF_PB11B,-,-
AD3,PB18A,8,WRITEN,-,-,-,,AD3,PB18A,8,WRITEN,-,-,-,,AD3,PB18A,8,WRITEN,-,-,-,,AD3,PB18A,8,WRITEN,-,-,-
AD4,CFG_2,8,-,-,-,-,,AD4,CFG_2,8,-,-,-,-,,AD4,CFG_2,8,-,-,-,-,,AD4,CFG_2,8,-,-,-,-
AD5,TCK,40,-,-,-,-,,AD5,TCK,40,-,-,-,-,,AD5,TCK,40,-,-,-,-,,AD5,TCK,40,-,-,-,-
AD6,GND,-,GND,-,-,-,,AD6,GND,-,GND,-,-,-,,AD6,GND,-,GND,-,-,-,,AD6,GND,-,GND,-,-,-
AD7,HDTXP0_D0CH0,-,-,True_OF_HDTXN0_D0CH0,-,-,,AD7,HDTXP0_D0CH0,50,-,True_OF_HDTXN0_D0CH0,-,-,,AD7,HDTXP0_D0CH0,-,-,True_OF_HDTXN0_D0CH0,-,-,,AD7,HDTXP0_D0CH0,50,-,True_OF_HDTXN0_D0CH0,-,-
AD8,HDTXN0_D0CH0,-,-,Comp_OF_HDTXP0_D0CH0,-,-,,AD8,HDTXN0_D0CH0,50,-,Comp_OF_HDTXP0_D0CH0,-,-,,AD8,HDTXN0_D0CH0,-,-,Comp_OF_HDTXP0_D0CH0,-,-,,AD8,HDTXN0_D0CH0,50,-,Comp_OF_HDTXP0_D0CH0,-,-
AD9,GND,-,GND,-,-,-,,AD9,GND,-,GND,-,-,-,,AD9,GND,-,GND,-,-,-,,AD9,GND,-,GND,-,-,-
AD10,HDTXP0_D0CH1,-,-,True_OF_HDTXN0_D0CH1,-,-,,AD10,HDTXP0_D0CH1,50,-,True_OF_HDTXN0_D0CH1,-,-,,AD10,HDTXP0_D0CH1,-,-,True_OF_HDTXN0_D0CH1,-,-,,AD10,HDTXP0_D0CH1,50,-,True_OF_HDTXN0_D0CH1,-,-
AD11,HDTXN0_D0CH1,-,-,Comp_OF_HDTXP0_D0CH1,-,-,,AD11,HDTXN0_D0CH1,50,-,Comp_OF_HDTXP0_D0CH1,-,-,,AD11,HDTXN0_D0CH1,-,-,Comp_OF_HDTXP0_D0CH1,-,-,,AD11,HDTXN0_D0CH1,50,-,Comp_OF_HDTXP0_D0CH1,-,-
AD12,GND,-,GND,-,-,-,,AD12,GND,-,GND,-,-,-,,AD12,GND,-,GND,-,-,-,,AD12,GND,-,GND,-,-,-
AD13,RESERVED,-,-,-,-,-,,AD13,RESERVED,-,-,True_OF_ATSTN_D0,-,-,,AD13,RESERVED,-,-,-,-,-,,AD13,RESERVED,-,-,True_OF_ATSTN_D0,-,-
AD14,RESERVED,-,-,-,-,-,,AD14,RESERVED,-,-,Comp_OF_ATSTP_D0,-,-,,AD14,RESERVED,-,-,-,-,-,,AD14,RESERVED,-,-,Comp_OF_ATSTP_D0,-,-
AD15,GND,-,GND,-,-,-,,AD15,GND,-,GND,-,-,-,,AD15,GND,-,GND,-,-,-,,AD15,GND,-,GND,-,-,-
AD16,HDTXP0_D1CH0,-,-,True_OF_HDTXN0_D1CH0,-,-,,AD16,HDTXP0_D1CH0,51,-,True_OF_HDTXN0_D1CH0,-,-,,AD16,HDTXP0_D1CH0,-,-,True_OF_HDTXN0_D1CH0,-,-,,AD16,HDTXP0_D1CH0,51,-,True_OF_HDTXN0_D1CH0,-,-
AD17,HDTXN0_D1CH0,-,-,Comp_OF_HDTXP0_D1CH0,-,-,,AD17,HDTXN0_D1CH0,51,-,Comp_OF_HDTXP0_D1CH0,-,-,,AD17,HDTXN0_D1CH0,-,-,Comp_OF_HDTXP0_D1CH0,-,-,,AD17,HDTXN0_D1CH0,51,-,Comp_OF_HDTXP0_D1CH0,-,-
