# ECP5U & ECP5UM caBGA554 Pin Migration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Revision 1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# Revised Mar 19, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Please read note at the bottom on ECP5U & ECP5UM migration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LFE5U-45,,,,,,,,LFE5UM-45,,,,,,,,LFE5U-85,,,,,,,,LFE5UM-85,,,,,,
Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,DQS,,Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,DQS,,Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,DQS,,Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,DQS
C8,PT20B,0,-,Comp_OF_PT20A,-,-,,C8,PT20B,0,-,Comp_OF_PT20A,-,-,,C8,PT20B,0,-,Comp_OF_PT20A,-,-,,C8,PT20B,0,-,Comp_OF_PT20A,-,-
C9,PT24B,0,-,Comp_OF_PT24A,-,-,,C9,PT24B,0,-,Comp_OF_PT24A,-,-,,C9,PT51B,0,-,Comp_OF_PT51A,-,-,,C9,PT51B,0,-,Comp_OF_PT51A,-,-
C10,PT29A,0,-,True_OF_PT29B,-,-,,C10,PT29A,0,-,True_OF_PT29B,-,-,,C10,PT56A,0,-,True_OF_PT56B,-,-,,C10,PT56A,0,-,True_OF_PT56B,-,-
C11,PT33A,0,GR_PCLK0_1,True_OF_PT33B,-,-,,C11,PT33A,0,GR_PCLK0_1,True_OF_PT33B,-,-,,C11,PT60A,0,GR_PCLK0_1,True_OF_PT60B,-,-,,C11,PT60A,0,GR_PCLK0_1,True_OF_PT60B,-,-
C12,NC,-,-,-,-,-,,C12,NC,-,-,-,-,-,,C12,NC,-,-,-,-,-,,C12,NC,-,-,-,-,-
C13,PT47A,1,GR_PCLK1_0,True_OF_PT47B,-,-,,C13,PT47A,1,GR_PCLK1_0,True_OF_PT47B,-,-,,C13,PT74A,1,GR_PCLK1_0,True_OF_PT74B,-,-,,C13,PT74A,1,GR_PCLK1_0,True_OF_PT74B,-,-
C14,PT47B,1,GR_PCLK1_1,Comp_OF_PT47A,-,-,,C14,PT47B,1,GR_PCLK1_1,Comp_OF_PT47A,-,-,,C14,PT74B,1,GR_PCLK1_1,Comp_OF_PT74A,-,-,,C14,PT74B,1,GR_PCLK1_1,Comp_OF_PT74A,-,-
C15,NC,-,-,-,-,-,,C15,NC,-,-,-,-,-,,C15,NC,-,-,-,-,-,,C15,NC,-,-,-,-,-
C16,PT56B,1,-,Comp_OF_PT56A,-,-,,C16,PT56B,1,-,Comp_OF_PT56A,-,-,,C16,PT83B,1,-,Comp_OF_PT83A,-,-,,C16,PT83B,1,-,Comp_OF_PT83A,-,-
C17,PT60B,1,-,Comp_OF_PT60A,-,-,,C17,PT60B,1,-,Comp_OF_PT60A,-,-,,C17,PT96B,1,-,Comp_OF_PT96A,-,-,,C17,PT96B,1,-,Comp_OF_PT96A,-,-
C18,PT65A,1,-,True_OF_PT65B,-,-,,C18,PT65A,1,-,True_OF_PT65B,-,-,,C18,PT101A,1,-,True_OF_PT101B,-,-,,C18,PT101A,1,-,True_OF_PT101B,-,-
C19,PT69A,1,-,True_OF_PT69B,-,-,,C19,PT69A,1,-,True_OF_PT69B,-,-,,C19,PT105A,1,-,True_OF_PT105B,-,-,,C19,PT105A,1,-,True_OF_PT105B,-,-
C21,PT76B,1,-,Comp_OF_PT76A,-,-,,C21,PT76B,1,-,Comp_OF_PT76A,-,-,,C21,PT112B,1,-,Comp_OF_PT112A,-,-,,C21,PT112B,1,-,Comp_OF_PT112A,-,-
C22,PT80A,1,-,True_OF_PT80B,-,-,,C22,PT80A,1,-,True_OF_PT80B,-,-,,C22,PT116A,1,-,True_OF_PT116B,-,-,,C22,PT116A,1,-,True_OF_PT116B,-,-
C23,PR11C,2,-,True_OF_PR11D,-,RDQ17,,C23,PR11C,2,-,True_OF_PR11D,-,RDQ17,,C23,PR11C,2,-,True_OF_PR11D,-,RDQ17,,C23,PR11C,2,-,True_OF_PR11D,-,RDQ17
C24,PR11D,2,-,Comp_OF_PR11C,-,RDQ17,,C24,PR11D,2,-,Comp_OF_PR11C,-,RDQ17,,C24,PR11D,2,-,Comp_OF_PR11C,-,RDQ17,,C24,PR11D,2,-,Comp_OF_PR11C,-,RDQ17
C25,PR11A,2,URC_GPLL0T_IN,True_OF_PR11B,TRUE,RDQ17,,C25,PR11A,2,URC_GPLL0T_IN,True_OF_PR11B,TRUE,RDQ17,,C25,PR11A,2,URC_GPLL0T_IN,True_OF_PR11B,TRUE,RDQ17,,C25,PR11A,2,URC_GPLL0T_IN,True_OF_PR11B,TRUE,RDQ17
C26,PR11B,2,URC_GPLL0C_IN,Comp_OF_PR11A,TRUE,RDQ17,,C26,PR11B,2,URC_GPLL0C_IN,Comp_OF_PR11A,TRUE,RDQ17,,C26,PR11B,2,URC_GPLL0C_IN,Comp_OF_PR11A,TRUE,RDQ17,,C26,PR11B,2,URC_GPLL0C_IN,Comp_OF_PR11A,TRUE,RDQ17
D1,PL17D,7,-,Comp_OF_PL17C,-,LDQ17,,D1,PL17D,7,-,Comp_OF_PL17C,-,LDQ17,,D1,PL17D,7,-,Comp_OF_PL17C,-,LDQ17,,D1,PL17D,7,-,Comp_OF_PL17C,-,LDQ17
D2,PL17A,7,-,True_OF_PL17B,TRUE,LDQS17,,D2,PL17A,7,-,True_OF_PL17B,TRUE,LDQS17,,D2,PL17A,7,-,True_OF_PL17B,TRUE,LDQS17,,D2,PL17A,7,-,True_OF_PL17B,TRUE,LDQS17
D3,PL14B,7,-,Comp_OF_PL14A,TRUE,LDQ17,,D3,PL14B,7,-,Comp_OF_PL14A,TRUE,LDQ17,,D3,PL14B,7,-,Comp_OF_PL14A,TRUE,LDQ17,,D3,PL14B,7,-,Comp_OF_PL14A,TRUE,LDQ17
D4,PL14A,7,-,True_OF_PL14B,TRUE,LDQ17,,D4,PL14A,7,-,True_OF_PL14B,TRUE,LDQ17,,D4,PL14A,7,-,True_OF_PL14B,TRUE,LDQ17,,D4,PL14A,7,-,True_OF_PL14B,TRUE,LDQ17
D5,PT9A,0,-,True_OF_PT9B,-,-,,D5,PT9A,0,-,True_OF_PT9B,-,-,,D5,PT9A,0,-,True_OF_PT9B,-,-,,D5,PT9A,0,-,True_OF_PT9B,-,-
D6,PT11B,0,-,Comp_OF_PT11A,-,-,,D6,PT11B,0,-,Comp_OF_PT11A,-,-,,D6,PT11B,0,-,Comp_OF_PT11A,-,-,,D6,PT11B,0,-,Comp_OF_PT11A,-,-
D8,PT22B,0,-,Comp_OF_PT22A,-,-,,D8,PT22B,0,-,Comp_OF_PT22A,-,-,,D8,PT49B,0,-,Comp_OF_PT49A,-,-,,D8,PT49B,0,-,Comp_OF_PT49A,-,-
D9,PT24A,0,-,True_OF_PT24B,-,-,,D9,PT24A,0,-,True_OF_PT24B,-,-,,D9,PT51A,0,-,True_OF_PT51B,-,-,,D9,PT51A,0,-,True_OF_PT51B,-,-
D10,PT27B,0,-,Comp_OF_PT27A,-,-,,D10,PT27B,0,-,Comp_OF_PT27A,-,-,,D10,PT54B,0,-,Comp_OF_PT54A,-,-,,D10,PT54B,0,-,Comp_OF_PT54A,-,-
D11,PT36B,0,PCLKC0_1,Comp_OF_PT36A,-,-,,D11,PT36B,0,PCLKC0_1,Comp_OF_PT36A,-,-,,D11,PT63B,0,PCLKC0_1,Comp_OF_PT63A,-,-,,D11,PT63B,0,PCLKC0_1,Comp_OF_PT63A,-,-
D12,NC,-,-,-,-,-,,D12,NC,-,-,-,-,-,,D12,NC,-,-,-,-,-,,D12,NC,-,-,-,-,-
D13,PT44A,1,PCLKT1_0,True_OF_PT44B,-,-,,D13,PT44A,1,PCLKT1_0,True_OF_PT44B,-,-,,D13,PT71A,1,PCLKT1_0,True_OF_PT71B,-,-,,D13,PT71A,1,PCLKT1_0,True_OF_PT71B,-,-
D14,PT44B,1,PCLKC1_0,Comp_OF_PT44A,-,-,,D14,PT44B,1,PCLKC1_0,Comp_OF_PT44A,-,-,,D14,PT71B,1,PCLKC1_0,Comp_OF_PT71A,-,-,,D14,PT71B,1,PCLKC1_0,Comp_OF_PT71A,-,-
D15,NC,-,-,-,-,-,,D15,NC,-,-,-,-,-,,D15,NC,-,-,-,-,-,,D15,NC,-,-,-,-,-
D16,PT53A,1,-,True_OF_PT53B,-,-,,D16,PT53A,1,-,True_OF_PT53B,-,-,,D16,PT80A,1,-,True_OF_PT80B,-,-,,D16,PT80A,1,-,True_OF_PT80B,-,-
D17,PT62A,1,-,True_OF_PT62B,-,-,,D17,PT62A,1,-,True_OF_PT62B,-,-,,D17,PT98A,1,-,True_OF_PT98B,-,-,,D17,PT98A,1,-,True_OF_PT98B,-,-
D18,PT65B,1,-,Comp_OF_PT65A,-,-,,D18,PT65B,1,-,Comp_OF_PT65A,-,-,,D18,PT101B,1,-,Comp_OF_PT101A,-,-,,D18,PT101B,1,-,Comp_OF_PT101A,-,-
D19,PT67B,1,-,Comp_OF_PT67A,-,-,,D19,PT67B,1,-,Comp_OF_PT67A,-,-,,D19,PT103B,1,-,Comp_OF_PT103A,-,-,,D19,PT103B,1,-,Comp_OF_PT103A,-,-
D21,PT78A,1,-,True_OF_PT78B,-,-,,D21,PT78A,1,-,True_OF_PT78B,-,-,,D21,PT114A,1,-,True_OF_PT114B,-,-,,D21,PT114A,1,-,True_OF_PT114B,-,-
D22,PT80B,1,-,Comp_OF_PT80A,-,-,,D22,PT80B,1,-,Comp_OF_PT80A,-,-,,D22,PT116B,1,-,Comp_OF_PT116A,-,-,,D22,PT116B,1,-,Comp_OF_PT116A,-,-
D23,PR14A,2,-,True_OF_PR14B,TRUE,RDQ17,,D23,PR14A,2,-,True_OF_PR14B,TRUE,RDQ17,,D23,PR14A,2,-,True_OF_PR14B,TRUE,RDQ17,,D23,PR14A,2,-,True_OF_PR14B,TRUE,RDQ17
D24,PR14B,2,-,Comp_OF_PR14A,TRUE,RDQ17,,D24,PR14B,2,-,Comp_OF_PR14A,TRUE,RDQ17,,D24,PR14B,2,-,Comp_OF_PR14A,TRUE,RDQ17,,D24,PR14B,2,-,Comp_OF_PR14A,TRUE,RDQ17
D25,PR17A,2,-,True_OF_PR17B,TRUE,RDQS17,,D25,PR17A,2,-,True_OF_PR17B,TRUE,RDQS17,,D25,PR17A,2,-,True_OF_PR17B,TRUE,RDQS17,,D25,PR17A,2,-,True_OF_PR17B,TRUE,RDQS17
D26,PR17D,2,-,Comp_OF_PR17C,-,RDQ17,,D26,PR17D,2,-,Comp_OF_PR17C,-,RDQ17,,D26,PR17D,2,-,Comp_OF_PR17C,-,RDQ17,,D26,PR17D,2,-,Comp_OF_PR17C,-,RDQ17
E1,PL17B,7,-,Comp_OF_PL17A,TRUE,LDQSN17,,E1,PL17B,7,-,Comp_OF_PL17A,TRUE,LDQSN17,,E1,PL17B,7,-,Comp_OF_PL17A,TRUE,LDQSN17,,E1,PL17B,7,-,Comp_OF_PL17A,TRUE,LDQSN17
E2,GND,-,-,-,-,-,,E2,GND,-,-,-,-,-,,E2,GND,-,-,-,-,-,,E2,GND,-,-,-,-,-
E3,PL17C,7,-,True_OF_PL17D,-,LDQ17,,E3,PL17C,7,-,True_OF_PL17D,-,LDQ17,,E3,PL17C,7,-,True_OF_PL17D,-,LDQ17,,E3,PL17C,7,-,True_OF_PL17D,-,LDQ17
E4,PL20C,7,-,True_OF_PL20D,-,LDQ17,,E4,PL20C,7,-,True_OF_PL20D,-,LDQ17,,E4,PL20C,7,-,True_OF_PL20D,-,LDQ17,,E4,PL20C,7,-,True_OF_PL20D,-,LDQ17
E5,GND,-,-,-,-,-,,E5,GND,-,-,-,-,-,,E5,GND,-,-,-,-,-,,E5,GND,-,-,-,-,-
E6,PT11A,0,-,True_OF_PT11B,-,-,,E6,PT11A,0,-,True_OF_PT11B,-,-,,E6,PT11A,0,-,True_OF_PT11B,-,-,,E6,PT11A,0,-,True_OF_PT11B,-,-
E8,PT22A,0,-,True_OF_PT22B,-,-,,E8,PT22A,0,-,True_OF_PT22B,-,-,,E8,PT49A,0,-,True_OF_PT49B,-,-,,E8,PT49A,0,-,True_OF_PT49B,-,-
E9,GND,-,-,-,-,-,,E9,GND,-,-,-,-,-,,E9,GND,-,-,-,-,-,,E9,GND,-,-,-,-,-
E10,PT27A,0,-,True_OF_PT27B,-,-,,E10,PT27A,0,-,True_OF_PT27B,-,-,,E10,PT54A,0,-,True_OF_PT54B,-,-,,E10,PT54A,0,-,True_OF_PT54B,-,-
E11,PT36A,0,PCLKT0_1,True_OF_PT36B,-,-,,E11,PT36A,0,PCLKT0_1,True_OF_PT36B,-,-,,E11,PT63A,0,PCLKT0_1,True_OF_PT63B,-,-,,E11,PT63A,0,PCLKT0_1,True_OF_PT63B,-,-
E12,GND,-,-,-,-,-,,E12,GND,-,-,-,-,-,,E12,GND,-,-,-,-,-,,E12,GND,-,-,-,-,-
E13,PT42A,1,PCLKT1_1,True_OF_PT42B,-,-,,E13,PT42A,1,PCLKT1_1,True_OF_PT42B,-,-,,E13,PT69A,1,PCLKT1_1,True_OF_PT69B,-,-,,E13,PT69A,1,PCLKT1_1,True_OF_PT69B,-,-
