# Pin Out For ECP5-5G-85,,,,,,,
# Revision 0.0,,,,,,,
"# Revised Feb. 23, 2016",,,,,,,
,,,,,,,
PAD,Pin/Ball Function,Bank,Dual Function,Differential,High Speed,DQS,CSFBGA285
224,HDTXP0_D0CH0,50,8,True_OF_HDTXN0_D0CH0,-,-,V12
225,VCCHTX0_D0CH0,-,8,-,-,-,U12
226,HDTXN0_D0CH0,50,-,Comp_OF_HDTXP0_D0CH0,-,-,V11
227,VSSA0_D0CH0,-,8,-,-,-,-
228,VCCARX0_D0CH0,-,8,-,-,-,-
229,HDRXP0_D0CH0,50,-,True_OF_HDRXN0_D0CH0,-,-,V9
230,VCCARX0_D0CH0,-,40,-,-,-,-
231,VCCHRX0_D0CH0,-,40,-,-,-,U8
232,HDRXN0_D0CH0,50,-,Comp_OF_HDRXP0_D0CH0,-,-,V8
233,VSSA0_D0CH0,-,40,-,-,-,-
234,VSSA1_D0CH1,-,40,-,-,-,-
235,HDRXP0_D0CH1,50,-,True_OF_HDRXN0_D0CH1,-,-,V6
236,VCCARX1_D0CH1,-,-,-,-,-,-
237,VCCHRX1_D0CH1,-,-,-,-,-,U6
238,HDRXN0_D0CH1,50,-,Comp_OF_HDRXP0_D0CH1,-,-,V5
239,VCCARX1_D0CH1,-,-,-,-,-,-
240,VSSA1_D0CH1,-,-,-,-,-,-
241,HDTXP0_D0CH1,50,-,True_OF_HDTXN0_D0CH1,-,-,V3
242,VCCHTX1_D0CH1,-,-,-,-,-,T5
243,HDTXN0_D0CH1,50,-,Comp_OF_HDTXP0_D0CH1,-,-,V2
244,VCCATX1_D0CH1,-,50,-,-,-,-
245,VSSA1_D0CH1,-,-,-,-,-,-
246,RESERVED,-,50,True_OF_ATSTN_D0,-,-,-
247,VCCA_D0,-,-,-,-,-,-
248,RESERVED,-,-,Comp_OF_ATSTP_D0,-,-,-
249,VSSA_D0,-,50,-,-,-,-
250,VSSA_D0,-,-,-,-,-,-
251,REFCLKP_D0,50,-,True_OF_REFCLKN_D0,-,-,U1
252,VCCA25_D0,-,50,-,-,-,-
253,REFCLKN_D0,50,-,Comp_OF_REFCLKP_D0,-,-,T1
254,VSSA0_D1CH0,-,-,-,-,-,-
255,VCCATX0_D1CH0,-,50,-,-,-,-
256,HDTXP0_D1CH0,51,-,True_OF_HDTXN0_D1CH0,-,-,-
257,VCCHTX0_D1CH0,-,-,-,-,-,-
258,HDTXN0_D1CH0,51,50,Comp_OF_HDTXP0_D1CH0,-,-,-
259,VSSA0_D1CH0,-,-,-,-,-,-
260,VCCARX0_D1CH0,-,-,-,-,-,-
261,HDRXP0_D1CH0,51,50,True_OF_HDRXN0_D1CH0,-,-,-
262,VCCARX0_D1CH0,-,-,-,-,-,-
263,VCCHRX0_D1CH0,-,50,-,-,-,-
264,HDRXN0_D1CH0,51,-,Comp_OF_HDRXP0_D1CH0,-,-,-
265,VSSA0_D1CH0,-,-,-,-,-,-
266,VSSA1_D1CH1,-,-,-,-,-,-
267,HDRXP0_D1CH1,51,-,True_OF_HDRXN0_D1CH1,-,-,-
268,VCCARX1_D1CH1,-,-,-,-,-,-
269,VCCHRX1_D1CH1,-,-,-,-,-,-
270,HDRXN0_D1CH1,51,-,Comp_OF_HDRXP0_D1CH1,-,-,-
271,VCCARX1_D1CH1,-,50,-,-,-,-
272,VSSA1_D1CH1,-,-,-,-,-,-
273,HDTXP0_D1CH1,51,50,True_OF_HDTXN0_D1CH1,-,-,-
274,VCCHTX1_D1CH1,-,-,-,-,-,-
275,HDTXN0_D1CH1,51,-,Comp_OF_HDTXP0_D1CH1,-,-,-
276,VCCATX1_D1CH1,-,51,-,-,-,-
277,VSSA1_D1CH1,-,-,-,-,-,-
278,RESERVED,-,51,True_OF_ATSTN_D1,-,-,-
279,VCCA_D1,-,-,-,-,-,-
280,RESERVED,-,-,Comp_OF_ATSTP_D1,-,-,-
281,VSSA_D1,-,51,-,-,-,-
282,VSSA_D1,-,-,-,-,-,-
283,REFCLKP_D1,51,-,True_OF_REFCLKN_D1,-,-,-
284,VCCA25_D1,-,51,-,-,-,-
285,REFCLKN_D1,51,-,Comp_OF_REFCLKP_D1,-,-,-
286,VCC,-,-,-,-,-,-
287,VCC,-,51,-,-,-,-
288,VSS,-,-,-,-,-,-
289,VSS,-,-,-,-,-,-
290,PB96A,4,51,True_OF_PB96B,-,-,-
291,PB98A,4,-,True_OF_PB98B,-,-,-
292,VCC,-,-,-,-,-,-
293,PB96B,4,51,Comp_OF_PB96A,-,-,-
294,PB98B,4,-,Comp_OF_PB98A,-,-,-
295,VSS,-,51,-,-,-,-
296,PB101A,4,-,True_OF_PB101B,-,-,-
297,PB103A,4,-,True_OF_PB103B,-,-,-
298,VSSIO4,-,-,-,-,-,-
299,PB101B,4,-,Comp_OF_PB101A,-,-,-
300,PB103B,4,-,Comp_OF_PB103A,-,-,-
301,VCCIO4,-,-,-,-,-,-
302,PB105A,4,-,True_OF_PB105B,-,-,-
303,PB107A,4,51,True_OF_PB107B,-,-,-
304,VSSIO4,-,-,-,-,-,-
305,PB105B,4,51,Comp_OF_PB105A,-,-,-
306,PB107B,4,-,Comp_OF_PB107A,-,-,-
